objno_deep2,ra_deep2,dec_deep2,zquality,u_apercor,g_apercor,r_apercor,i_apercor,i2_apercor,z_apercor,flag_cfhtls,cfhtls_source,subaru_source,zhelio
12008337,214.2919781557821,52.47607377656095,4,23.914595337189343,23.75517858487912,23.401963567284074,23.089675042647425,23.159216790643658,22.65356621239843,0,0,0,1.2869933
12004954,214.11498073378414,52.42044776061084,3,25.722519253247214,25.378215941632337,24.751601882583667,23.952971647731875,23.98562136460831,23.51183870315524,0,0,0,0.9864468
12023313,214.9103215363427,52.7265543747053,4,24.01972811127264,23.887139784797007,23.762455065147037,23.655109829271865,23.663526337722296,23.346590157101193,0,0,0,1.3501124
12028582,214.65932891769546,52.77159859528183,1,25.683104581284056,24.160863214587184,23.437956155769538,23.092895231643357,23.11354338994372,22.970790467955513,0,0,0,0.1564905
11013746,213.90091173650003,52.040389795492956,4,24.838514724659195,24.553758995595107,23.662198741074693,22.77971391128261,-99.0,22.43566734235901,0,1,1,0.7673319
13003816,214.93940996997358,52.79388117144117,4,22.51965326033962,22.0314653608574,21.253891280830796,20.785687073337243,20.811680410791848,20.623728279065567,0,0,-99,0.5766857
13019117,214.92401541625196,52.9363992688086,4,23.792261270720896,23.63267412702581,23.268521926530365,22.692648987630186,22.748460890531174,22.557317815850894,0,0,-99,0.7611203
11027537,213.75599407068228,52.16209619833671,2,23.67870124703667,23.152551998897085,22.140839993855682,21.87440401188451,-99.0,21.572143916498952,0,1,1,0.37538737
11019169,214.08542111271498,52.12129528992455,4,22.285284679443055,21.369166052792753,20.483430976772883,20.0520262346338,-99.0,19.798623907833356,0,1,1,0.28199506
11038951,214.09204288943715,52.28880847012306,4,23.641079773853868,23.076716615696842,22.08172486062355,21.033947567293527,21.067308455374423,20.60930496824285,252,0,1,0.74944997
14027910,215.86846876723027,53.55202178581385,4,25.640224214940297,25.141414564960318,23.16884708624446,22.014014465151913,-99.0,21.206328011509182,244,1,-99,0.9827654
13101456,215.41358949012607,53.14247462423373,3,99.0,99.0,99.0,99.0,-99.0,99.0,0,1,-99,1.268887
14021985,215.9932386383151,53.491954592740285,4,21.497936094239602,20.099127570242473,19.262761073852477,18.879431649609902,-99.0,18.682282797525005,0,1,-99,0.16502348
13049206,215.37146830913764,53.14104978377145,4,23.85634699648398,23.685565370530956,23.320315616195906,22.956958128763965,23.018498298839333,22.66911142500946,0,0,-99,0.7021024
14008432,215.25478716066803,53.29912293006055,4,22.358433831867064,21.87496372712041,21.192483316971938,20.9673924904777,-99.0,20.80875926323889,0,1,-99,0.38940856
12016739,214.3496002333287,52.57700707547883,4,24.045607306771025,23.801109114794407,23.300932288990012,22.73552639544717,22.76350765923181,22.461978533835914,0,0,0,0.7466939
11045206,214.23217915998347,52.344903788494776,4,24.05101072167829,23.789836910785883,23.077857573111853,22.82767917934825,22.82549190778958,22.799953267952873,0,0,0,0.506101
13025447,215.20271864612266,52.95455169236811,2,24.702876448802265,23.26011707813015,22.845023702712588,23.067944395299197,23.56620040919249,23.152604479219125,0,0,-99,0.03418473
12016052,214.61046802124363,52.58501881067059,3,24.218395368737607,23.49124605888455,23.30137299376918,23.144625955431458,23.15162039097168,23.135159965705427,252,0,0,0.07386672
11047326,213.88881943881194,52.36132269895279,3,23.75820223320132,23.636728165424483,23.375634099936367,22.926368286723495,-99.0,22.896326924210282,0,1,1,0.749059
14005986,215.71939997739895,53.32064787104173,2,26.394101134064233,24.543073083937895,23.811271644063407,23.738043558910125,-99.0,23.17257400758707,0,1,-99,0.59362966
11026950,213.8335600381147,52.17031959774249,4,23.59238608473069,23.52927449967846,23.45433859534072,23.423725204635495,-99.0,22.943871992296604,0,1,1,1.2909988
11001878,213.81459304710668,51.93851471086964,4,23.98333027690881,24.104437961058824,23.46114512931487,23.359427725562156,-99.0,22.929944197445536,0,1,1,0.50297445
11039155,214.14890589850597,52.2667607163437,4,22.480323109623665,22.06562178553108,21.224778649804026,20.923990155614206,20.924119662990094,20.825420032480697,0,0,1,0.5072277
13036642,214.82619550287788,53.02862217127404,4,24.41840487204737,22.62787551635093,21.134820504150152,20.483366711763317,20.513091701161045,20.17114410143388,0,0,-99,0.41943267
13043524,214.9957066575359,53.08129223113065,4,24.330912336165742,24.215286707960214,23.85251594560379,23.283554949120614,23.291693126024068,23.20989719865516,0,0,-99,0.752131
14027008,216.03646982506075,53.50121303661217,1,27.241746265242462,25.13801905418839,24.026894612231235,22.98899301574533,-99.0,22.694736620468188,244,1,-99,0.29265502
13019211,214.92808085742752,52.918178185325814,4,24.37946893635422,23.768102461836087,23.06517925215581,22.212121351665687,22.26409311197066,22.00065084480085,0,0,-99,0.7547901
13059337,215.0821933318321,53.21698000100878,4,24.07672837637764,23.99439399356366,23.753474785563167,23.38496556348164,-99.0,22.979486258409263,0,1,-99,1.2744632
14001810,215.68261438168932,53.25267399428412,3,24.48027778928942,23.555143302001046,22.252339595677157,21.264325038328078,-99.0,20.87478068573275,0,1,-99,0.6266334
13057915,215.24434605692653,53.201650139308185,1,25.648395375455618,25.32381225726058,24.653531335193623,24.67970402321683,-99.0,24.217123754003087,0,1,-99,0.674257
12021412,214.32377581625872,52.62819874433444,1,24.66423980742606,24.364535164868744,24.192464659860253,23.95651000819232,23.963596472316812,23.873689882585392,0,0,0,1.5672926
